Time,Power - Solarpanels - L1,Power - Solarpanels - L2,Power - Solarpanels - L3,Total solar production
1615874400000.00,4614,4570,4487,13671
1615896000000.00,-89,-56,13,-132
1615917600000.00,-46,-45,-26,-117
1615939200000.00,-39,-44,-23,-106
1615960800000.00,4522,4480,4411,13413
1615982400000.00,-40,-43,-22,-105
1616004000000.00,-48,-45,-23,-116
1616025600000.00,-40,-46,-22,-108
1616047200000.00,18754,18616,18192,55562
1616068800000.00,-45,-45,-23,-113
1616090400000.00,-48,-46,-23,-117
1616112000000.00,264,263,278,805
1616133600000.00,34854,34520,33874,103248
1616155200000.00,47,50,71,168
1616176800000.00,-49,-44,-20,-113
1616198400000.00,338,330,347,1015
1616220000000.00,33251,32948,32285,98484
1616241600000.00,0,-7,22,15
1616263200000.00,-49,-45,-19,-113
1616284800000.00,-41,-46,-21,-108
1616306400000.00,18328,18142,17840,54310
1616328000000.00,-41,-45,-21,-107
1616349600000.00,-50,-46,-20,-116
1616371200000.00,-41,-44,-21,-106
1616392800000.00,11131,11020,10798,32949
1616414400000.00,89,84,108,281
1616436000000.00,-101,-57,11,-147
1616457600000.00,664,651,660,1975
1616479200000.00,41227,40897,40143,122267
1616500800000.00,191,192,208,591
1616522400000.00,-46,-45,-25,-116
1616544000000.00,576,565,577,1718
1616565600000.00,33083,32770,32111,97964
1616587200000.00,205,155,139,499
1616608800000.00,-98,-57,11,-144
1616630400000.00,-91,-56,13,-134
1616652000000.00,14387,14266,13955,42608
1616673600000.00,284,283,297,864
1616695200000.00,-48,-45,-24,-117
1616716800000.00,918,889,908,2715
1616738400000.00,17739,17565,17254,52558
1616760000000.00,-54,-18,55,-17
1616781600000.00,-98,-57,11,-144
1616803200000.00,1421,1450,1490,4361
1616824800000.00,38552,38205,37561,114318
1616846400000.00,178,134,107,419
1616868000000.00,-46,-45,-24,-115
1616889600000.00,911,910,908,2729
1616911200000.00,21115,20997,20586,62698
1616932800000.00,208,214,223,645
1616954400000.00,-47,-46,-24,-117
1616976000000.00,1253,1234,1239,3726
1616997600000.00,35226,34861,34485,104572
1617019200000.00,535,524,537,1596
1617040800000.00,-48,-45,-25,-118
1617062400000.00,1371,1356,1347,4074
1617084000000.00,34543,34262,33619,102424
1617105600000.00,511,503,517,1531
1617127200000.00,-48,-46,-26,-120
1617148800000.00,1638,1614,1610,4862
1617170400000.00,33604,33277,32620,99501
1617192000000.00,209,200,221,630
1617213600000.00,-48,-47,-24,-119
1617235200000.00,965,953,964,2882
1617256800000.00,32753,32480,32072,97305
1617278400000.00,520,515,530,1565
1617300000000.00,-46,-46,-25,-117
1617321600000.00,1909,1887,1869,5665
1617343200000.00,14112,13976,13717,41805
1617364800000.00,109,108,125,342
1617386400000.00,-47,-46,-27,-120
1617408000000.00,979,970,975,2924
1617429600000.00,20605,20433,20030,61068
1617451200000.00,890,885,888,2663
1617472800000.00,-47,-45,-25,-117
1617494400000.00,525,521,528,1574
1617516000000.00,11648,11550,11340,34538
1617537600000.00,1380,1377,1364,4121
1617559200000.00,-47,-47,-25,-119
1617580800000.00,1775,1797,1839,5411
1617602400000.00,20304,20140,19954,60398
1617624000000.00,1057,1008,961,3026
1617645600000.00,-47,-47,-25,-119
1617667200000.00,3881,3835,3780,11496
1617688800000.00,41864,41437,40683,123984
1617710400000.00,497,485,505,1487
